<org.java_websocket.WebSocketImpl: boolean DEBUG>	org.java_websocket.WebSocketImpl
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1: com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin this$0>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1: int val$responseCode>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1: java.lang.String val$json>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: com.matt_richardson.gocd.websocket_notifier.WebSocketPipelineListener pipelineListener>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: com.thoughtworks.go.plugin.api.logging.Logger LOGGER>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: int INTERNAL_ERROR_RESPONSE_CODE>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: int SUCCESS_RESPONSE_CODE>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: java.lang.String REQUEST_NOTIFICATIONS_INTERESTED_IN>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: java.lang.String EXTENSION_TYPE>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: java.lang.String REQUEST_STAGE_STATUS>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: java.util.List goSupportedVersions>	com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin
<com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer: com.thoughtworks.go.plugin.api.logging.Logger LOGGER>	com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer
<com.matt_richardson.gocd.websocket_notifier.WebSocketPipelineListener: com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer webSocketServer>	com.matt_richardson.gocd.websocket_notifier.WebSocketPipelineListener
<com.matt_richardson.gocd.websocket_notifier.WebSocketPipelineListener: com.thoughtworks.go.plugin.api.logging.Logger LOGGER>	com.matt_richardson.gocd.websocket_notifier.WebSocketPipelineListener
