	Date	SHA	From DB	Mapping	DL-Rules	Total Time	Loading Time	Reasoning Time	Saving Time
0	2024-07-25 16:10:03.154016	262664d18526fe22f559d5e0980ab318628f4fbc	Simple_Pointer-v1		PointerAnalyse_separate	195ms	179ms	10ms	5ms
1	2024-07-25 16:10:03.154016	262664d18526fe22f559d5e0980ab318628f4fbc	Simple_Pointer-v2		PointerAnalyse_separate	197ms	178ms	12ms	6ms
2	2024-07-25 16:10:03.154016	262664d18526fe22f559d5e0980ab318628f4fbc	Simple_Pointer_v1_v2	local_expansion-jaccard_min	PointerAnalyse_merge_no_fold	310ms	288ms	15ms	6ms
3	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer-v1		PointerAnalyse_separate	220ms	202ms	11ms	6ms
4	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer-v2		PointerAnalyse_separate	192ms	176ms	10ms	6ms
5	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer_v1_v2	local_expansion-jaccard_min	PointerAnalyse_merge_no_fold	1013ms	970ms	31ms	11ms
6	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer_v1_v2	full_expansion-term_equality	PointerAnalyse_merge_no_fold	322ms	299ms	16ms	5ms
7	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer_v1_v2	full_expansion-jaccard_min	PointerAnalyse_merge_no_fold	725ms	682ms	31ms	11ms
8	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer_v1_v2	full_expansion-isub	PointerAnalyse_merge_no_fold	338ms	315ms	16ms	6ms
9	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer_v1_v2	full_expansion-jaccard+isub	PointerAnalyse_merge_no_fold	322ms	299ms	16ms	5ms
10	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer_v1_v2	local_expansion-term_equality	PointerAnalyse_merge_no_fold	319ms	299ms	14ms	5ms
11	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer_v1_v2	local_expansion-isub	PointerAnalyse_merge_no_fold	377ms	355ms	16ms	5ms
12	2024-07-26 15:01:00.859275	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer_v1_v2	local_expansion-jaccard+isub	PointerAnalyse_merge_no_fold	367ms	344ms	17ms	5ms
