,resource,nr_pairs,nr_fake_pairs,use_nr_sim,ALPHA,Equality_corr_pairs,Equality_percentage,Equality_runtime,ISUB_corr_pairs,ISUB_percentage,ISUB_runtime,JaroWinkler_corr_pairs,JaroWinkler_percentage,JaroWinkler_runtime,Levenshtein_corr_pairs,Levenshtein_percentage,Levenshtein_runtime,LCS_corr_pairs,LCS_percentage,LCS_runtime,QGram_corr_pairs,QGram_percentage,QGram_runtime,Dice_corr_pairs,Dice_percentage,Dice_runtime
0,rename_attribute,131891,2,False,-,31327,23.75,0.0084,49554,37.57,1.4709,47915,36.33,0.2983,49436,37.48,2.798,49272,37.36,12.9531,49072,37.21,0.6617,47045,35.67,0.3141
1,rename_attribute,131891,4,False,-,30721,23.29,0.0082,47120,35.73,1.5264,45254,34.31,0.3406,47075,35.69,3.3137,46850,35.52,13.2917,47031,35.66,0.6756,45002,34.12,0.3204
2,rename_attribute,131891,6,False,-,29867,22.65,0.0082,45388,34.41,1.5765,43383,32.89,0.365,45422,34.44,3.5849,45117,34.21,13.6335,45505,34.5,0.6927,41883,31.76,0.3299
3,rename_attribute,131891,2,True,0.95,72625,55.06,0.0416,89500,67.86,1.6143,87859,66.61,0.3534,89442,67.82,3.0182,89319,67.72,13.7912,89139,67.59,0.7518,89604,67.94,0.3735
4,rename_attribute,131891,4,True,0.95,71737,54.39,0.0388,87067,66.01,1.6114,85185,64.59,0.4433,87086,66.03,4.1364,86873,65.87,13.647,87057,66.01,0.7221,87588,66.41,0.3595
5,rename_attribute,131891,6,True,0.95,70739,53.63,0.0367,85335,64.7,1.5654,83332,63.18,0.4513,85420,64.77,4.2705,85118,64.54,13.1482,85498,64.82,0.6877,86071,65.26,0.3434
9,rename_attribute,131891,2,True,0.6,72625,55.06,0.0387,89152,67.6,1.5004,87353,66.23,0.3312,89128,67.58,2.8358,88969,67.46,12.94,88856,67.37,0.6967,89249,67.67,0.3469
10,rename_attribute,131891,4,True,0.6,71737,54.39,0.0354,86691,65.73,1.4718,84640,64.17,0.3996,86759,65.78,3.7432,86514,65.6,12.4438,86756,65.78,0.6535,87233,66.14,0.3254
11,rename_attribute,131891,6,True,0.6,70739,53.63,0.0347,84927,64.39,1.4721,82715,62.71,0.4195,85056,64.49,4.0054,84731,64.24,12.4499,85181,64.58,0.6475,85691,64.97,0.3223
12,rename_variable,57098,2,False,-,3359,5.88,0.0072,22425,39.27,0.3156,20193,35.37,0.1361,21560,37.76,0.3952,21333,37.36,0.4414,19668,34.45,0.2053,20566,36.02,0.0832
13,rename_variable,57098,4,False,-,2562,4.49,0.0067,17952,31.44,0.313,15715,27.52,0.1304,17404,30.48,0.3854,16990,29.76,0.4328,16540,28.97,0.1976,17474,30.6,0.0804
14,rename_variable,57098,6,False,-,2070,3.63,0.0067,15675,27.45,0.3099,13447,23.55,0.1295,15250,26.71,0.382,14782,25.89,0.4302,14870,26.04,0.1965,15756,27.59,0.0802
15,rename_variable,57098,2,True,0.95,11641,20.39,0.0171,29839,52.26,0.3318,27639,48.41,0.1438,29071,50.91,0.4008,28864,50.55,0.4501,27361,47.92,0.2143,28183,49.36,0.0928
16,rename_variable,57098,4,True,0.95,10281,18.01,0.0166,25069,43.91,0.3256,22840,40.0,0.1412,24598,43.08,0.3977,24217,42.41,0.4428,23839,41.75,0.2092,24734,43.32,0.0907
17,rename_variable,57098,6,True,0.95,9483,16.61,0.0164,22577,39.54,0.315,20346,35.63,0.1375,22234,38.94,0.3869,21781,38.15,0.4302,21936,38.42,0.2059,22800,39.93,0.089
21,rename_variable,57098,2,True,0.6,11641,20.39,0.0168,29675,51.97,0.3366,27378,47.95,0.142,29024,50.83,0.3943,28820,50.47,0.4417,27262,47.75,0.2107,28026,49.08,0.0909
22,rename_variable,57098,4,True,0.6,10281,18.01,0.0162,24947,43.69,0.3144,22616,39.61,0.1381,24573,43.04,0.3899,24170,42.33,0.4345,23756,41.61,0.2049,24602,43.09,0.0886
