(com.alibaba.cloud.examples.ServiceApplication, com.alibaba.cloud.examples.SentinelCoreApplication)
(audioTranscriptionClient, audioTranscriptionModel)
(com.alibaba.cloud.ai.tongyi.audio.speech.TongYiAudioSpeechClient, com.alibaba.cloud.ai.tongyi.audio.speech.TongYiAudioSpeechModel)
(com.alibaba.cloud.ai.tongyi.audio.speech.api.SpeechClient, com.alibaba.cloud.ai.tongyi.audio.speech.api.SpeechModel)
(com.alibaba.cloud.ai.tongyi.audio.speech.api.SpeechStreamClient, com.alibaba.cloud.ai.tongyi.audio.speech.api.SpeechStreamModel)
(com.alibaba.cloud.ai.tongyi.audio.transcription.TongYiAudioTranscriptionClient, com.alibaba.cloud.ai.tongyi.audio.transcription.TongYiAudioTranscriptionModel)
(com.alibaba.cloud.ai.tongyi.chat.TongYiChatClient, com.alibaba.cloud.ai.tongyi.chat.TongYiChatModel)
(com.alibaba.cloud.ai.tongyi.embedding.TongYiTextEmbeddingClient, com.alibaba.cloud.ai.tongyi.embedding.TongYiTextEmbeddingModel)
(com.alibaba.cloud.ai.tongyi.image.TongYiImagesClient, com.alibaba.cloud.ai.tongyi.image.TongYiImagesModel)
(audioTranscriptionClient, transcriptionModel)
(chatClient, chatModel)
(chatClient, chatModel)
(chatClient, chatModel)
(chatClient, chatModel)
(chatClient, chatModel)
(client, chatModel)
(embeddingClient, embeddingModel)
(imageClient, imageModel)
(streamingChatClient, streamingChatModel)
(chatClient, chatModel)
(chatClient, chatModel)
(chatClient, chatModel)
(chatClient, chatModel)
(chatClient, chatModel)
(client, chatModel)
(client, imageModel)
(embeddingClient, embeddingModel)
(streamingChatClient, streamingChatModel)
(future, kks)
(future, kks)
(package sendSmsRequest(queryParam TreeMap<String,Object>, apiName String), private request(apiName String, queryParams TreeMap<String,Object>))
(queryParam, queryParams)
(body, requestBody)
(signedHeadersSb, signedHeadersBuilder)
(request, body)
(package sendSmsRequest(queryParam TreeMap<String,Object>, apiName String), private request(apiName String, queryParams TreeMap<String,Object>))
(public testHuaweiSmsClient(), public testHuaweiSmsClient_sendSms())
(queryParam, queryParams)
(body, requestBody)
(signedHeadersSb, signedHeadersBuilder)
(request, body)
